Image_name,Card-set,Card_number,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Password,Status,Effect types,Ritual required,Property,Ritual Monster required,Pendulum Scale,Rank,Link Arrows,ATK / LINK,Other names (Japanese),Summoned by the effect of
MRD-116 R.png,Metal Raiders,MRD-116,Rare,Witch of the Black Forest,,Monster,DARK,Spellcaster / Effect,4.0,1100 / 1200,78010363,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
PHSW-EN014 C.png,Photon Shockwave,PHSW-EN014,Common,Plasma Ball,,Monster,LIGHT,Thunder / Effect,3.0,900 / 900,92595545,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger']",,,,,,,,,
ROTD-EN030 UR.png,Rise of the Duelist,ROTD-EN030,Ultra Rare,Koa'ki Meiru Supplier,,Monster,EARTH,Rock / Effect,4.0,1400 / 1600,80839052,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
PGD-093 R.png,Pharaonic Guardian,PGD-093,Rare,Coffin Seller,,Trap,,,,,65830223,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Trigger-like'],,Continuous,,,,,,,
RIRA-EN060 C.png,Rising Rampage,RIRA-EN060,Common,"Elborz, the Sacred Lands of Simorgh",,Spell,,,,,92223430,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Condition', 'Ignition-like', 'Ignition-like']",,Field,,,,,,,
DUEA-EN098 C.png,Duelist Alliance,DUEA-EN098,Common,Cloudcastle,,Monster,WIND,Machine / Synchro / Effect,9.0,0 / 3000,09348522,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Continuous']",,,,,,,,,
SOI-EN048 C.png,Shadow of Infinity,SOI-EN048,Common,Samsara,,Spell,,,,,44182827,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Continuous,,,,,,,
CRV-EN006 C.png,Cybernetic Revolution,CRV-EN006,Common,Patroid,,Monster,EARTH,Machine / Effect,4.0,1200 / 1200,71930383,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
LTGY-EN045 UR.png,Lord of the Tachyon Galaxy,LTGY-EN045,Ultra Rare,Gauntlet Launcher,,Monster,EARTH,Warrior / Xyz / Effect,,2400 / 2800,15561463,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,6.0,,,,
SOVR-EN022 C.png,Stardust Overdrive,SOVR-EN022,Common,Reptilianne Scylla,,Monster,DARK,Reptile / Effect,4.0,1800 / 1200,16909657,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
LIOV-EN031 C.png,Lightning Overdrive,LIOV-EN031,Common,Otoshidamashi,,Monster,EARTH,Beast / Tuner / Effect,1.0,1000 / 1000,14957440,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Condition']",,,,,,,,,
LIOV-EN099 C.png,Lightning Overdrive,LIOV-EN099,Common,Sunvine Cross Breed,,Spell,,,,,70473293,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition-like', 'Condition']",,Continuous,,,,,,,
STOR-EN004 SR.png,Storm of Ragnarok,STOR-EN004,Super Rare,D.D. Sprite,,Monster,LIGHT,Fairy / Tuner / Effect,1.0,0 / 100,16638212,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger']",,,,,,,,,
FET-EN004 C.png,Flaming Eternity,FET-EN004,Common,Insect Knight,,Monster,EARTH,Insect,4.0,1900 / 1500,35052053,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
TDIL-EN095 C.png,The Dark Illusion,TDIL-EN095,Common,Paleozoic Olenoides,,Trap,,,,,35035481,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Quick-like', 'Condition']",,Normal,,,,,,,
CIBR-EN089 C.png,Circuit Break,CIBR-EN089,Common,F.A. Pit Stop,,Spell,,,,,38532954,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Ignition-like', 'Condition']",,Quick-Play,,,,,,,
BODE-EN088 UR.png,Burst of Destiny,BODE-EN088,Ultra Rare,Ultra Beetrooper Absolute Hercules,,Monster,EARTH,Insect / Fusion / Effect,11.0,4000 / 4000,50855622,"['Not yet released (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger', 'Condition']",,,,,,,,,
INOV-EN031 C.png,Invasion: Vengeance,INOV-EN031,Common,Aromaseraphy Angelica,,Monster,LIGHT,Plant / Tuner / Effect,1.0,0 / 0,16759958,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Ignition', 'Condition']",,,,,,,,,
TDGS-EN081 SR.png,The Duelist Genesis,TDGS-EN081,Super Rare,Counselor Lily,,Monster,EARTH,Fairy / Tuner,3.0,400 / 1500,05519829,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
ANPR-EN013 R.png,Ancient Prophecy,ANPR-EN013,Rare,Darksea Rescue,,Monster,DARK,Machine / Effect,1.0,0 / 0,34659866,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
POTD-EN038 C.png,Power of the Duelist,POTD-EN038,Common,Fake Hero,,Spell,,,,,78387742,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Lingering']",,Normal,,,,,,,
CHIM-EN088 SR.png,Chaos Impact,CHIM-EN088,Super Rare,Dream Mirror Phantasms,,Spell,,,,,62171834,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Continuous-like', 'Continuous-like', 'Condition']",,Continuous,,,,,,,
IGAS-EN027 R.png,Ignition Assault,IGAS-EN027,Rare,Ibicella Lutea,,Monster,EARTH,Plant / Effect,4.0,1800 / 100,62411042,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous']",,,,,,,,,
SOFU-EN052 C.png,Soul Fusion,SOFU-EN052,Common,Rise of the Salamangreat,,Spell,,,,,38784726,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Trigger']",,Ritual,"""Salamangreat Emerald Eagle""",,,,,,
STOR-EN005 C.png,Storm of Ragnarok,STOR-EN005,Common,Top Runner,,Monster,WIND,Machine / Tuner,4.0,1100 / 800,53623827,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
DUEA-EN086 SR.png,Duelist Alliance,DUEA-EN086,Super Rare,The Traveler and the Burning Abyss,,Trap,,,,,20036055,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
CROS-EN085 UR.png,Crossed Souls,CROS-EN085,Ultra Rare,The Terminus of the Burning Abyss,,Spell,,,,,44771289,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Ignition-like']",,Normal,,,,,,,
PTDN-EN033 C.png,Phantom Darkness,PTDN-EN033,Common,Black Veloci,,Monster,EARTH,Dinosaur / Effect,4.0,1800 / 300,52319752,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous']",,,,,,,,,
PGD-022 C.png,Pharaonic Guardian,PGD-022,Common,Swarm of Locusts,,Monster,DARK,Insect / Effect,3.0,1000 / 500,41872150,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Ignition', 'Trigger']",,,,,,,,,
RGBT-EN011 C.png,Raging Battle,RGBT-EN011,Common,Blackwing - Shura the Blue Flame,,Monster,DARK,Winged Beast / Effect,4.0,1800 / 1200,58820853,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
LIOV-EN017 UR.png,Lightning Overdrive,LIOV-EN017,Ultra Rare,Live☆Twin Ki-sikil Frost,,Monster,LIGHT,Aqua / Effect,2.0,500 / 0,54257392,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Condition', 'Trigger', 'Condition']",,,,,,,,,
EEN-EN055 C.png,Elemental Energy,EEN-EN055,Common,The League of Uniform Nomenclature,,Trap,,,,,55008284,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
STOR-EN068 C.png,Storm of Ragnarok,STOR-EN068,Common,Nordic Relic Brisingamen,,Trap,,,,,42793609,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
DAMA-EN002 ScR.png,Dawn of Majesty,DAMA-EN002,Secret Rare,Stardust Synchron,,Monster,LIGHT,Machine / Tuner / Effect,4.0,1500 / 1000,37799519,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger', 'Condition']",,,,,,,,,
MACR-EN016 C.png,Maximum Crisis ,MACR-EN016,Common,Double Resonator,,Monster,FIRE,Fiend / Tuner / Effect,1.0,0 / 0,60832978,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,,,,
ABPF-EN095 ScR.png,Absolute Powerforce,ABPF-EN095,Secret Rare,Shield Wing,,Monster,WIND,Winged Beast / Effect,2.0,0 / 900,28859794,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
FLOD-EN052 R.png,Flames of Destruction,FLOD-EN052,Rare,Greatfly,,Monster,WIND,Insect / Link / Effect,,,90512490,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Condition']",,,,,,"Bottom-Left,  Bottom-Right",1400 / 2,,
PSV-056 R.png,Pharaoh's Servant,PSV-056,Rare,Skull Invitation,,Trap,,,,,98139712,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Continuous,,,,,,,
SOD-EN031 C.png,Soul of the Duelist,SOD-EN031,Common,Enraged Muka Muka,,Monster,EARTH,Rock / Effect,5.0,1200 / 600,91862578,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
MRD-044 C.png,Metal Raiders,MRD-044,Common,Mega Thunderball,,Monster,WIND,Thunder,2.0,750 / 600,21817254,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
BACH-EN092 C.png,Battle of Chaos,BACH-EN092,Common,Fire Opal Head,,Monster,FIRE,Dinosaur / Pendulum / Normal,6.0,2500 / 1000,28363749,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,0.0,,,,,
RGBT-EN044 SR.png,Raging Battle,RGBT-EN044,Super Rare,Sea Dragon Lord Gishilnodon,,Monster,WATER,Sea Serpent / Synchro / Effect,5.0,2300 / 1800,76891401,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
